Date, Open, High, Low, Close, Volume
02/22/24, 96.30, 96.90, 95.80, 96.60, 51805
02/21/24, 96.50, 96.50, 94.30, 94.60, 42349
02/20/24, 96.00, 96.00, 94.50, 95.00, 65557
02/19/24, 96.90, 96.90, 94.00, 94.70, 106536
02/16/24, 94.10, 96.90, 93.00, 95.10, 54827
02/15/24, 93.60, 94.90, 93.50, 94.90, 13705
02/14/24, 93.50, 93.90, 93.50, 93.70, 3089
02/13/24, 92.20, 94.80, 92.20, 93.50, 6648
02/12/24, 94.00, 94.30, 92.10, 92.50, 19833
02/09/24, 93.50, 94.90, 92.50, 93.10, 24726
02/08/24, 98.00, 98.00, 93.00, 93.10, 90521
02/07/24, 97.50, 97.50, 95.00, 95.00, 94184
02/06/24, 99.00, 99.00, 96.90, 97.00, 54856
02/02/24, 99.90, 99.90, 99.00, 99.60, 39061
02/01/24, 98.70, 101.00, 98.50, 99.40, 312649
01/31/24, 94.00, 99.00, 94.00, 98.20, 249187
01/30/24, 93.50, 94.90, 93.50, 93.90, 8264
01/29/24, 93.40, 95.00, 93.40, 94.00, 23512
01/26/24, 90.20, 94.80, 90.10, 93.40, 92348
01/24/24, 91.00, 91.90, 90.70, 90.90, 30505
01/23/24, 92.00, 93.30, 90.10, 90.90, 14641
01/22/24, 91.40, 93.40, 90.70, 91.70, 31684
01/19/24, 90.50, 91.20, 90.40, 91.10, 13485
01/18/24, 92.60, 92.60, 90.90, 91.00, 30865
01/17/24, 93.00, 94.00, 92.00, 92.20, 97408
01/16/24, 93.00, 97.60, 92.00, 92.40, 289020
01/12/24, 91.00, 91.00, 88.00, 88.30, 29937
01/11/24, 91.30, 91.30, 89.00, 90.00, 49924
01/10/24, 92.00, 92.00, 89.60, 90.20, 19569
01/09/24, 92.00, 92.90, 92.00, 92.00, 8820
01/08/24, 92.50, 93.00, 90.90, 92.90, 10015
01/05/24, 91.50, 93.40, 91.00, 93.00, 43331
01/04/24, 93.90, 93.90, 91.00, 92.00, 47918
01/03/24, 92.20, 93.90, 92.20, 93.00, 52709
01/02/24, 93.00, 93.00, 91.10, 91.40, 11067
12/29/23, 92.00, 94.00, 91.40, 92.90, 10297
12/28/23, 93.80, 94.80, 91.00, 91.50, 68818
12/27/23, 91.70, 94.40, 91.10, 91.70, 36685
12/22/23, 94.40, 94.40, 91.70, 92.20, 41593
12/21/23, 94.20, 94.80, 92.40, 92.80, 62896
12/20/23, 93.00, 94.50, 93.00, 93.40, 20922
12/19/23, 92.70, 93.90, 92.20, 92.80, 68364
12/18/23, 94.90, 94.90, 92.60, 93.00, 30728
12/15/23, 95.00, 96.40, 93.00, 93.80, 119692
12/14/23, 98.00, 98.00, 94.90, 95.20, 127569
12/13/23, 98.00, 98.00, 96.80, 97.20, 17717
12/12/23, 97.00, 99.90, 96.40, 98.80, 72750
12/11/23, 97.00, 97.90, 95.70, 96.90, 24827
12/08/23, 97.30, 100.00, 96.00, 96.10, 152321
12/07/23, 100.00, 100.50, 97.00, 97.60, 60156
12/06/23, 100.00, 101.00, 99.30, 99.60, 12934
12/05/23, 99.50, 101.00, 99.50, 100.00, 36575
